frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
136,6,[850.49185967844 1661.5302188591397 1577.7072813590712 2154.232567458194],[1086.5926513671875 2068.05712890625 1321.3851318359375 2160.0],0.657999694,GX15OGJ,0.299030571
136,1,[2046.3287727282914 1218.7376992827117 2605.933438565379 1694.6492048067694],[2238.4482421875 1506.873046875 2446.667236328125 1599.49658203125],0.48659128,AP05JEO,0.279533468
136,8,[1101.7997740376404 1123.5454060736852 1609.2648225361381 1559.9142786715008],[1271.2164306640625 1367.7335205078125 1427.4305419921875 1457.7481689453125],0.268745422,KH05ZTK,0.15360625
137,1,[2045.89917930792 1222.7420230435396 2609.6175667450316 1700.9324485436136],[2249.017333984375 1517.0277099609375 2465.506591796875 1615.1341552734375],0.634453833,AP05JEO,0.740879427
137,34,[2286.7188008906724 1684.1035919591964 2957.2816410370056 2151.994764494225],[2522.918701171875 2052.254150390625 2751.817626953125 2155.063720703125],0.61394012,LH13VCV,0.424096054
138,34,[2291.9352013710914 1693.020864608822 2955.849574779405 2150.3710393224455],[2525.11328125 2059.72412109375 2753.326416015625 2160.0],0.642306447,LM13VCV,0.320544674
138,1,[2049.0605465550434 1228.4662734387632 2613.677472858811 1706.821346488467],[2236.7529296875 1527.47021484375 2464.712646484375 1607.829345703125],0.586077988,AP05JEO,0.361357696
139,1,[2052.4061459139903 1231.9602528375308 2616.7475929059847 1709.6523558835104],[2240.569091796875 1526.055908203125 2446.428955078125 1604.7235107421875],0.547178984,AP05JEO,0.188582509
139,34,[2292.770636178239 1699.1653876230603 2959.5607500928363 2153.536562985624],[2514.61474609375 2060.369384765625 2750.913818359375 2160.0],0.506341457,LM13VCV,0.429420966
140,1,[2050.640833965434 1231.3515195753876 2625.0566295547014 1717.9468382828554],[2270.17919921875 1536.0618896484375 2460.60302734375 1609.4447021484375],0.334305495,AP05JEQ,0.110910147
140,8,[1086.6675223982347 1127.2781988214456 1604.957934010582 1574.372106582593],[1254.8885498046875 1389.9444580078125 1420.2847900390625 1470.1995849609375],0.281528354,KH05ZZK,0.592172845
141,8,[1080.4269302874632 1129.8967500684612 1600.7853902706997 1579.8706091208692],[1258.0762939453125 1396.3375244140625 1416.043212890625 1474.001220703125],0.302025884,KH05ZIK,0.420272283
141,1,[2048.414051014578 1235.1405361813024 2628.3446551289003 1726.7883083443771],[2257.075927734375 1535.60595703125 2458.991455078125 1621.219482421875],0.264650583,AP05JEO,0.250459083
142,1,[2047.8655531102613 1237.204581840489 2631.4939420363107 1732.3405213566402],[2261.923828125 1539.9771728515625 2468.4013671875 1624.303466796875],0.338828832,AP05JEO,0.139502794
143,1,[2042.534662912743 1240.049992541779 2631.068728415112 1739.2087181458285],[2240.93994140625 1537.928466796875 2454.860595703125 1624.91455078125],0.533243001,AP05JEO,0.242582468
144,1,[2043.7511136031865 1244.9919936117524 2636.1283366712205 1747.4112165281072],[2245.658203125 1549.521728515625 2440.534423828125 1633.9095458984375],0.47730583,AP05JEO,0.241349288
145,1,[2046.5176097082604 1250.5147904835878 2637.6993475398103 1751.79469229802],[2268.87890625 1555.7889404296875 2470.9453125 1644.1702880859375],0.407218397,AP05JEO,0.214118755
146,8,[1071.2982648995078 1153.6559972498637 1587.5030153898226 1600.0072851695859],[1235.5189208984375 1414.203125 1399.9974365234375 1506.62451171875],0.545983791,KI05ZZK,0.114980551
146,1,[2046.4668348451614 1255.2579250835909 2640.341738716791 1759.0287373049628],[2239.4140625 1560.8360595703125 2426.04541015625 1643.9014892578125],0.332661569,AP05JEO,0.182782211
147,8,[1065.3245929511777 1156.1229792233137 1587.351609154688 1608.2767089301658],[1232.961181640625 1415.544921875 1402.956298828125 1511.8499755859375],0.537097335,KM05ZZK,0.716984855
147,1,[2045.693862495865 1258.7754825425277 2643.1650765637633 1766.1433855671557],[2256.1787109375 1573.505615234375 2470.367431640625 1656.5296630859375],0.509978354,AP05JEO,0.315489705
148,8,[1061.5109026722862 1159.4457959887263 1584.3265252695603 1611.9247531536043],[1230.4110107421875 1415.717041015625 1399.90576171875 1510.2437744140625],0.505844772,KH05ZZK,0.497980018
148,1,[2044.1358718580118 1262.7279599580734 2642.6247665811347 1770.7350531390366],[2246.5439453125 1573.7720947265625 2458.81298828125 1652.9468994140625],0.487848282,AP05JEO,0.549803496
149,1,[2047.1649050628303 1266.634846680056 2649.800392484498 1778.5384303337826],[2260.1298828125 1584.1611328125 2433.39892578125 1662.08642578125],0.405814946,AP05JEC,0.159068292
150,8,[1058.6742569460826 1166.0816998901869 1584.700643803294 1622.0791952013055],[1226.7159423828125 1425.3189697265625 1391.6767578125 1512.134033203125],0.480652899,KH15ZZK,0.168375171
150,1,[2051.0461764098804 1271.1950151712815 2658.9589155221424 1787.457857998415],[2269.04833984375 1586.16357421875 2449.693603515625 1659.763916015625],0.364653796,AP05JEO,0.332929431
151,1,[2053.432404278008 1273.9196918838404 2663.0991027767373 1791.7479869997999],[2248.826171875 1582.4033203125 2479.082763671875 1666.0078125],0.368656576,AP05JEO,0.175184606
152,1,[2051.224532880944 1280.2373252380448 2657.5104420409157 1794.2918462789232],[2250.865478515625 1588.0821533203125 2462.944091796875 1671.7701416015625],0.533801675,AP05JEO,0.599805617
153,1,[2045.827007476532 1284.1393913257784 2656.5968778707156 1801.297377154389],[2253.010498046875 1590.674560546875 2475.644775390625 1688.899658203125],0.399070621,AP05JEO,0.358240345
